time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1757701351.96391606,0.00780155,12201,0.00025983,0.00000000,0,0.00000000,6599,6647,73,0.00041401
1757701352.06394982,0.00915995,12012,0.00033248,0.00000000,0,0.00000000,6647,6605,54,0.00097372
1757701352.16388559,0.00810412,12258,0.00019033,0.00000000,0,0.00000000,6605,6623,59,0.00057297
1757701352.26392651,0.00764319,12386,0.00011702,0.00000000,0,0.00000000,6623,6648,42,0.00084158
1757701352.36376715,0.00955016,12150,0.00018084,0.00000000,0,0.00000000,6648,6646,43,0.00047303
1757701352.46368122,0.00682438,12034,0.00021735,0.00000000,0,0.00000000,6646,6656,56,0.00046933
1757701352.56388402,0.01094663,12239,0.00024528,0.00000000,0,0.00000000,6656,6664,45,0.00065847
1757701352.66384339,0.00721660,12296,0.00022213,0.00000000,0,0.00000000,6664,6669,60,0.00056445
1757701352.76377153,0.00778405,12175,0.00018646,0.00000000,0,0.00000000,6669,6676,49,0.00037056
1757701352.86375904,0.00711278,12010,0.00016771,0.00000000,0,0.00000000,6676,6702,42,0.00043746
1757701352.96454883,0.00698293,12111,0.00021366,0.00000000,0,0.00000000,6702,6724,50,0.00044636
1757701353.06375575,0.00842109,12334,0.00021798,0.00000000,0,0.00000000,6724,6756,56,0.00046460
1757701353.16375399,0.00754896,12036,0.00015068,0.00000000,0,0.00000000,6756,6789,46,0.00036120
1757701353.26450682,0.00856955,12212,0.00025649,0.00000000,0,0.00000000,6789,6805,48,0.00039710
1757701353.36462235,0.00827951,12287,0.00026989,0.00000000,0,0.00000000,6805,6796,47,0.00064624
1757701353.46391368,0.00783700,12002,0.00015346,0.00000000,0,0.00000000,6796,6830,44,0.00122799
1757701353.56376219,0.00768118,11936,0.00018734,0.00000000,0,0.00000000,6830,6849,47,0.00028728
1757701353.66374946,0.00881202,12175,0.00018903,0.00000000,0,0.00000000,6849,6853,50,0.00038760
1757701353.76385260,0.01041763,12208,0.00029037,0.00000000,0,0.00000000,6853,6855,49,0.00051640
1757701353.86376309,0.00851407,11993,0.00012586,0.00000000,0,0.00000000,6855,6888,47,0.00047566
1757701353.96368957,0.01043156,11945,0.00017030,0.00000000,0,0.00000000,6888,6899,48,0.00035548
1757701354.06389093,0.00816737,12051,0.00015669,0.00000000,0,0.00000000,6899,6919,44,0.00063246
1757701354.16376948,0.00835158,12159,0.00022519,0.00000000,0,0.00000000,6919,6949,55,0.00055096
1757701354.26371598,0.00823806,12004,0.00017350,0.00000000,0,0.00000000,6949,6976,42,0.00083500
1757701354.36441517,0.00797209,11931,0.00037898,0.00000000,0,0.00000000,6976,6919,55,0.00042065
1757701354.46375203,0.00844952,12142,0.00018099,0.00000000,0,0.00000000,6919,6948,51,0.00049703
1757701354.56371975,0.00859423,12208,0.00021174,0.00000000,0,0.00000000,6948,6965,47,0.00043002
1757701354.66379690,0.00756113,11881,0.00020575,0.00000000,0,0.00000000,6965,6995,56,0.00032565
1757701354.76368093,0.00667642,12137,0.00015642,0.00000000,0,0.00000000,6995,7017,48,0.00039643
1757701354.86387539,0.00723796,12090,0.00015329,0.00000000,0,0.00000000,7017,7030,39,0.00030721
1757701354.96373558,0.00893490,11982,0.00024304,0.00000000,0,0.00000000,7030,7044,59,0.00059547
1757701355.06442165,0.00753940,12031,0.00019592,0.00000000,0,0.00000000,7044,7039,47,0.00030562
1757701355.16374946,0.01023426,12242,0.00024839,0.00000000,0,0.00000000,7039,7059,60,0.00048205
1757701355.26370835,0.00717731,12156,0.00018727,0.00000000,0,0.00000000,7059,7085,51,0.00038735
1757701355.36370063,0.00706454,11931,0.00013664,0.00000000,0,0.00000000,7085,7117,46,0.00032510
1757701355.46375060,0.00743746,12349,0.00020210,0.00000000,0,0.00000000,7117,7136,58,0.00046318
1757701355.56453729,0.01169409,12020,0.00031238,0.00000000,0,0.00000000,7136,7141,52,0.00063448
1757701355.66378260,0.00831525,11983,0.00019055,0.00000000,0,0.00000000,7141,7169,64,0.00087645
1757701355.76353073,0.00966234,12402,0.00022129,0.00000000,0,0.00000000,7169,7165,51,0.00030728
1757701355.86366987,0.00761485,12118,0.00018949,0.00000000,0,0.00000000,7165,7199,58,0.00057674
1757701355.96375489,0.00769150,11905,0.00024855,0.00000000,0,0.00000000,7199,7229,60,0.00074011
1757701356.06375742,0.00804445,12306,0.00018578,0.00000000,0,0.00000000,7229,7230,57,0.00041455
1757701356.16437697,0.00743950,12224,0.00029015,0.00000000,0,0.00000000,7230,7266,68,0.00077731
1757701356.26381183,0.00993117,11961,0.00073970,0.00000000,0,0.00000000,7266,7278,57,0.00044014
1757701356.36367059,0.00877222,12137,0.00014346,0.00000000,0,0.00000000,7278,7311,55,0.00040770
1757701356.46376514,0.00827835,12100,0.00016846,0.00000000,0,0.00000000,7311,7346,41,0.00033456
1757701356.56377721,0.00906138,12002,0.00018338,0.00000000,0,0.00000000,7346,7368,56,0.00029675
1757701356.66369390,0.00863993,12280,0.00020038,0.00000000,0,0.00000000,7368,7387,61,0.00088713
1757701356.76440239,0.00900532,12303,0.00020160,0.00000000,0,0.00000000,7387,7428,61,0.00073149
1757701356.86382747,0.00951224,12189,0.00019755,0.00000000,0,0.00000000,7428,7458,62,0.00095239
1757701356.96367121,0.01098523,12115,0.00032521,0.00000000,0,0.00000000,7458,7445,66,0.00043052
1757701357.06445169,0.00637862,12181,0.00019083,0.00000000,0,0.00000000,7445,7446,40,0.00049234
1757701357.16376472,0.00762864,12359,0.00016393,0.00000000,0,0.00000000,7446,7483,47,0.00054937
1757701357.26441646,0.00759349,12141,0.00015697,0.00000000,0,0.00000000,7483,7477,40,0.00040201
1757701357.36433077,0.00928531,12032,0.00022694,0.00000000,0,0.00000000,7477,7478,57,0.00048626
1757701357.46375251,0.00719593,12237,0.00022795,0.00000000,0,0.00000000,7478,7482,57,0.00079253
1757701357.56438303,0.00744126,12232,0.00015816,0.00000000,0,0.00000000,7482,7495,40,0.00048450
1757701357.66380382,0.00779955,12073,0.00014625,0.00000000,0,0.00000000,7495,7522,41,0.00061363
1757701357.76366639,0.00718216,12321,0.00015232,0.00000000,0,0.00000000,7522,7551,43,0.00029893
1757701357.86367011,0.00849404,12374,0.00013040,0.00000000,0,0.00000000,7551,7573,36,0.00050548
1757701357.96366906,0.00920265,12185,0.00029682,0.00000000,0,0.00000000,7573,7605,45,0.00071060
1757701358.06379843,0.00905271,12140,0.00012794,0.00000000,0,0.00000000,7605,7596,26,0.00055978
1757701358.16363525,0.00970809,12354,0.00026522,0.00000000,0,0.00000000,7596,7566,46,0.00043261
1757701358.26374817,0.00957447,12390,0.00014370,0.00000000,0,0.00000000,7566,7579,36,0.00047984
1757701358.36367393,0.01033412,12266,0.00018503,0.00000000,0,0.00000000,7579,7588,35,0.00060928
1757701358.46384311,0.00818703,12264,0.00019517,0.00000000,0,0.00000000,7588,7607,42,0.00034025
1757701358.56431937,0.01093044,12303,0.00015713,0.00000000,0,0.00000000,7607,7628,31,0.00065234
1757701358.66364765,0.00919872,12219,0.00016425,0.00000000,0,0.00000000,7628,7640,43,0.00069407
1757701358.76365900,0.00956882,12201,0.00027517,0.00000000,0,0.00000000,7640,7650,41,0.00067186
1757701358.86369157,0.00932233,12221,0.00017319,0.00000000,0,0.00000000,7650,7641,35,0.00063340
1757701358.96366596,0.01041699,12202,0.00030037,0.00000000,0,0.00000000,7641,7665,40,0.00049083
1757701359.06368113,0.01091130,12145,0.00020035,0.00000000,0,0.00000000,7665,7685,41,0.00034060
1757701359.16368032,0.01197363,12094,0.00012563,0.00000000,0,0.00000000,7685,7711,41,0.00045364
1757701359.26368976,0.00670541,12149,0.00024168,0.00000000,0,0.00000000,7711,7707,42,0.00099888
1757701359.36364961,0.00871664,12050,0.00017921,0.00000000,0,0.00000000,7707,7721,42,0.00079981
1757701359.46376872,0.00954351,11953,0.00024414,0.00000000,0,0.00000000,7721,7719,40,0.00043460
1757701359.56362462,0.01063977,11995,0.00018706,0.00000000,0,0.00000000,7719,7748,38,0.00069251
1757701359.66364646,0.00892492,12096,0.00013102,0.00000000,0,0.00000000,7748,7757,29,0.00051603
1757701359.76375818,0.00936031,11889,0.00012166,0.00000000,0,0.00000000,7757,7758,35,0.00036661
1757701359.86366415,0.00793179,11896,0.00015711,0.00000000,0,0.00000000,7758,7766,40,0.00057469
1757701359.96363592,0.01053255,12054,0.00024047,0.00000000,0,0.00000000,7766,7740,28,0.00034110
1757701360.06359529,0.00984529,12101,0.00011109,0.00000000,0,0.00000000,7740,7756,30,0.00059053
1757701360.16364574,0.00685861,11960,0.00010969,0.00000000,0,0.00000000,7756,7771,40,0.00048134
1757701360.26364374,0.00780965,11979,0.00010491,0.00000000,0,0.00000000,7771,7767,26,0.00048156
1757701360.36368990,0.00924551,12108,0.00022059,0.00000000,0,0.00000000,7767,7765,33,0.00060279
1757701360.46367741,0.01037138,11851,0.00013115,0.00000000,0,0.00000000,7765,7765,28,0.00055770
1757701360.56376147,0.00817180,11811,0.00016790,0.00000000,0,0.00000000,7765,7766,36,0.00039530
1757701360.66376305,0.00734113,11964,0.00009646,0.00000000,0,0.00000000,7766,7771,26,0.00041178
1757701360.76361179,0.01138188,12087,0.00036648,0.00000000,0,0.00000000,7771,7790,47,0.00053518
1757701360.86361504,0.00800577,11916,0.00016783,0.00000000,0,0.00000000,7790,7787,30,0.00042073
1757701360.96374512,0.00814487,11913,0.00009690,0.00000000,0,0.00000000,7787,7784,19,0.00030096
1757701361.06437826,0.00818772,11923,0.00009868,0.00000000,0,0.00000000,7784,7806,32,0.00058146
1757701361.16358662,0.00711532,11879,0.00011439,0.00000000,0,0.00000000,7806,7820,30,0.00053771
1757701361.26372981,0.01222355,11820,0.00012685,0.00000000,0,0.00000000,7820,7839,26,0.00030108
1757701361.36357880,0.00855833,11914,0.00008598,0.00000000,0,0.00000000,7839,7839,23,0.00053592
1757701361.46429968,0.00788219,11843,0.00012956,0.00000000,0,0.00000000,7839,7845,30,0.00052694
1757701361.56431293,0.00800024,11970,0.00020645,0.00000000,0,0.00000000,7845,7818,38,0.00055062
1757701361.66369200,0.00869853,12021,0.00014050,0.00000000,0,0.00000000,7818,7833,24,0.00039835
1757701361.76359320,0.00664530,11837,0.00010939,0.00000000,0,0.00000000,7833,7855,35,0.00045955
1757701361.86375189,0.00834101,11718,0.00012403,0.00000000,0,0.00000000,7855,7881,36,0.00050566
1757701361.96358180,0.00806029,11898,0.00014737,0.00000000,0,0.00000000,7881,7879,33,0.00029658
1757701362.06425786,0.01099960,11807,0.00014838,0.00000000,0,0.00000000,7879,7890,33,0.00071943
1757701362.16363883,0.00757840,11637,0.00015356,0.00000000,0,0.00000000,7890,7865,41,0.00029867
1757701362.26363945,0.00812164,11808,0.00012719,0.00000000,0,0.00000000,7865,7882,27,0.00047704
1757701362.36362910,0.00811731,11711,0.00008521,0.00000000,0,0.00000000,7882,7866,19,0.00043020
1757701362.46372533,0.00731302,11653,0.00014176,0.00000000,0,0.00000000,7866,7854,32,0.00043673
1757701362.56421304,0.01120772,11670,0.00025631,0.00000000,0,0.00000000,7854,7852,27,0.00037025
1757701362.66366053,0.00777233,11728,0.00013353,0.00000000,0,0.00000000,7852,7852,31,0.00031316
1757701362.76424217,0.00728906,11631,0.00016749,0.00000000,0,0.00000000,7852,7851,31,0.00041009
1757701362.86376286,0.00853214,11832,0.00014289,0.00000000,0,0.00000000,7851,7863,32,0.00042492
1757701362.96369791,0.00857736,11720,0.00018566,0.00000000,0,0.00000000,7863,7861,32,0.00034400
1757701363.06365561,0.00745642,11580,0.00012026,0.00000000,0,0.00000000,7861,7884,26,0.00094651
1757701363.16373992,0.00716728,11716,0.00011505,0.00000000,0,0.00000000,7884,7890,36,0.00045840
1757701363.26355457,0.00723440,11862,0.00012344,0.00000000,0,0.00000000,7890,7898,30,0.00046576
1757701363.36366343,0.00945309,11709,0.00028495,0.00000000,0,0.00000000,7898,7905,24,0.00042442
1757701363.46366215,0.00608845,11684,0.00011059,0.00000000,0,0.00000000,7905,7914,32,0.00046966
1757701363.56448245,0.00657182,11612,0.00017522,0.00000000,0,0.00000000,7914,7923,49,0.00032834
1757701363.66444087,0.00715656,11761,0.00013303,0.00000000,0,0.00000000,7923,7921,34,0.00038500
1757701363.76424408,0.00898174,11675,0.00027805,0.00000000,0,0.00000000,7921,7933,49,0.00105287
1757701363.86371398,0.00689987,11677,0.00013977,0.00000000,0,0.00000000,7933,7964,51,0.00054873
1757701363.96435094,0.00885033,11606,0.00039212,0.00000000,0,0.00000000,7964,7910,58,0.00052496
1757701364.06351852,0.00751846,11968,0.00016610,0.00000000,0,0.00000000,7910,7920,40,0.00047199
1757701364.16359329,0.00744343,11927,0.00014651,0.00000000,0,0.00000000,7920,7932,39,0.00043855
1757701364.26434588,0.00749475,11637,0.00019281,0.00000000,0,0.00000000,7932,7964,56,0.00061060
